ticker,bayes_mean,bayes_vol,bayes_prob_pos,baseline_mean,baseline_prob_pos,rolling12_mean
DB,0.03866535486697974,0.06252246243340488,0.72375,0.052273262752702256,0.8095238095238095,0.05570044339521169
DCOR,0.015226218451040337,0.04203353733696717,0.6475,0.017299084451465552,0.6666666666666666,0.011371451480064965
FNDF,0.013442283662594083,0.03851961688973304,0.644,0.014843577707445984,0.7142857142857143,0.015053860036462067
NZUS,0.01690304873348625,0.04689738729275121,0.62925,0.018974074751105827,0.6666666666666666,0.011658596904895124
OPFI,0.026811584451209826,0.2143398512479402,0.55475,0.12724641082675234,0.6666666666666666,0.16171745136244467
PEBK,0.013977258355189615,0.08829240990816627,0.57475,0.019919107074545566,0.5714285714285714,0.005943655207572988
ROG,-0.013809000042817791,0.07362550156518448,0.418,-0.027849441110118413,0.47619047619047616,-0.04280201697491471
VFC,0.0030045864691795802,0.12782855505358576,0.5015,-0.005207044963835712,0.5238095238095238,0.006141274405687791
VFMV,0.014996494965366867,0.029860694246193347,0.7065,0.015595616652922296,0.7142857142857143,0.011913347581852715
VIOO,0.009616339073837353,0.06253133905170143,0.54975,0.010277819579285065,0.5238095238095238,0.005750638379139518
